episode,reward_mean,success_rate,elapsed_s
48,0.0125,0.0000,0
96,0.0125,0.0000,1
144,0.0187,0.0000,1
192,0.0062,0.0000,1
240,0.0062,0.0000,2
288,0.0338,0.0208,2
336,0.0062,0.0000,2
384,0.0125,0.0000,3
432,0.0062,0.0000,3
480,0.0062,0.0000,3
528,0.0339,0.0208,4
576,0.0277,0.0208,4
624,0.0312,0.0000,5
672,0.0125,0.0000,5
720,0.0062,0.0000,6
768,0.0187,0.0000,6
816,0.0062,0.0000,6
864,0.0276,0.0208,7
912,0.0401,0.0208,7
960,0.0250,0.0000,8
1008,0.0375,0.0000,8
1056,0.0437,0.0000,9
1104,0.0463,0.0208,10
1152,0.0250,0.0000,10
1200,0.0250,0.0000,11
1248,0.0625,0.0000,12
1296,0.0712,0.0208,13
1344,0.0187,0.0000,14
1392,0.0312,0.0000,15
1440,0.0312,0.0000,15
1488,0.0250,0.0000,16
1536,0.0187,0.0000,16
1584,0.0125,0.0000,17
1632,0.0462,0.0208,18
1680,0.0462,0.0208,19
1728,0.0312,0.0000,19
1776,0.0375,0.0000,20
1824,0.0125,0.0000,20
1872,0.0437,0.0000,21
1920,0.0375,0.0000,22
1968,0.0586,0.0208,23
2016,0.0526,0.0208,24
2064,0.0187,0.0000,24
2112,0.0463,0.0208,25
2160,0.0625,0.0000,26
2208,0.0400,0.0208,27
2256,0.0926,0.0417,28
2304,0.0438,0.0000,29
2352,0.1287,0.0833,31
2400,0.0862,0.0417,32
2448,0.0438,0.0000,33
2496,0.0563,0.0000,34
2544,0.0776,0.0208,35
2592,0.0839,0.0208,37
2640,0.0713,0.0208,38
2688,0.1049,0.0417,40
2736,0.0988,0.0417,41
2784,0.0875,0.0000,43
2832,0.0625,0.0000,44
2880,0.1426,0.0417,46
2928,0.0837,0.0208,47
2976,0.0875,0.0000,49
3024,0.0899,0.0208,51
3072,0.1424,0.0417,53
3120,0.0687,0.0000,54
3168,0.1151,0.0208,56
3216,0.1338,0.0208,58
3264,0.0962,0.0208,60
3312,0.0750,0.0000,61
3360,0.1087,0.0208,63
3408,0.1487,0.0417,66
3456,0.1550,0.0417,68
3504,0.1512,0.0625,70
3552,0.0750,0.0000,72
3600,0.0875,0.0000,73
3648,0.0938,0.0000,75
3696,0.1486,0.0417,77
3744,0.0938,0.0000,80
3792,0.0938,0.0000,82
3840,0.1337,0.0208,84
3888,0.1213,0.0208,86
3936,0.1062,0.0000,88
3984,0.1212,0.0208,90
4032,0.0813,0.0000,92
4080,0.1500,0.0000,95
4128,0.1500,0.0000,97
4176,0.1062,0.0000,99
4224,0.1312,0.0000,102
4272,0.1762,0.0625,104
4320,0.0812,0.0000,106
4368,0.1213,0.0208,109
4416,0.1274,0.0208,111
4464,0.1300,0.0417,113
4512,0.1177,0.0417,115
4560,0.1174,0.0417,117
4608,0.1175,0.0417,119
4656,0.1926,0.0417,122
4704,0.1423,0.0417,124
4752,0.2276,0.1250,127
4800,0.1360,0.0417,129
4848,0.0938,0.0000,131
4896,0.1949,0.0625,134
4944,0.1125,0.0000,136
4992,0.1463,0.0208,139
5040,0.1401,0.0208,141
5088,0.1338,0.0208,143
5136,0.1500,0.0000,146
5184,0.1437,0.0000,148
5232,0.1675,0.0417,151
