id,library_index,status,family,preinsert_task_rank,seated_task_rank,preinsert_compatible,seated_compatible,required_aperture_m,quality,seated_pcb_clearance_m,preinsert_pcb_clearance_m,collision_free_insertion_travel_m,remaining_to_seat_at_collision_m,limiting_gripper_component,T_P_E_00,T_P_E_01,T_P_E_02,T_P_E_03,T_P_E_10,T_P_E_11,T_P_E_12,T_P_E_13,T_P_E_20,T_P_E_21,T_P_E_22,T_P_E_23,T_P_E_30,T_P_E_31,T_P_E_32,T_P_E_33
g_5d7b55b6799c1fa2,0,rejected_preinsert_pcb_collision,close_y_approach_+x,,,False,False,0.007620000124,0.855772688213,-0.099489998287,-0.059489998287,0.0,0.04,body,0.262481130709,0.0,0.964937125424,0.008915970987,0.0,1.0,0.0,0.007062596679,-0.964937125424,0.0,0.262481130709,0.006383378537,0.0,0.0,0.0,1.0
g_860aab6eff8cf878,1,rejected_preinsert_pcb_collision,close_y_approach_+x,,,False,False,0.007620000124,0.855153634693,-0.099489998287,-0.059489998287,0.0,0.04,body,0.262481130709,0.0,0.964937125424,0.009956657074,0.0,1.0,0.0,0.007062596679,-0.964937125424,0.0,0.262481130709,0.006394034867,0.0,0.0,0.0,1.0
g_33d46fbb1f18c313,2,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.844851852881,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.262481130709,0.0,-0.964937125424,0.009956657074,0.0,1.0,0.0,0.007062596679,0.964937125424,0.0,-0.262481130709,0.006394034867,0.0,0.0,0.0,1.0
g_b45b19dc660b31f0,3,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.84423279936,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.262481130709,0.0,-0.964937125424,0.008915970987,0.0,1.0,0.0,0.007062596679,0.964937125424,0.0,-0.262481130709,0.006383378537,0.0,0.0,0.0,1.0
g_7a703a5a6c7846e7,4,rejected_contact_region,close_z_approach_-x,,,False,False,0.010794999599,0.831199236951,,,,,,-0.501361015315,0.0,-0.86523819398,0.018567153713,-0.86523819398,0.0,0.501361015315,0.003784756078,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_ee8cf9a9546e50b6,5,rejected_contact_region,close_z_approach_+x,,,False,False,0.010794999599,0.831061623408,,,,,,-0.257300020554,0.0,0.966331568057,0.01596605124,0.966331568057,0.0,0.257300020554,0.00395025397,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_841f3c17ce187e01,6,rejected_contact_region,close_z_approach_+x,,,False,False,0.010794999599,0.830838525661,,,,,,0.001572278739,0.0,0.999998763969,0.01596605124,0.999998763969,0.0,-0.001572278739,0.00395025397,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_23d50d79235f222a,7,rejected_contact_region,close_z_approach_-x,,,False,False,0.010794999599,0.830738537646,,,,,,-0.260337429835,0.0,-0.965517696693,0.019533839753,-0.965517696693,0.0,0.260337429835,0.004087887258,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_5957f780b2aeb582,8,rejected_contact_region,close_z_approach_-x,,,False,False,0.010794999599,0.830525767227,,,,,,-0.001572278739,0.0,-0.999998763969,0.019533839753,-0.999998763969,0.0,0.001572278739,0.004087887258,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_015d0ee582509649,9,rejected_contact_region,close_z_approach_+x,,,False,False,0.010794999599,0.830460364211,,,,,,-0.257300020554,0.0,0.966331568057,0.01699139413,0.966331568057,0.0,0.257300020554,0.00390061189,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_3d5f543e080d8c2f,10,rejected_contact_region,close_z_approach_-x,,,False,False,0.010794999599,0.830257077009,,,,,,0.257300020554,0.0,-0.966331568057,0.020349454955,-0.966331568057,0.0,-0.257300020554,0.003972025733,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_379ffc3cf509f6e2,11,rejected_contact_region,close_z_approach_-x,,,False,False,0.010794999599,0.83021326956,,,,,,-0.260337429835,0.0,-0.965517696693,0.018567153713,-0.965517696693,0.0,0.260337429835,0.003784756078,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_af2653888bcdfbe1,12,rejected_contact_region,close_z_approach_+x,,,False,False,0.010794999599,0.830208144714,,,,,,0.001572278739,0.0,0.999998763969,0.01699139413,0.999998763969,0.0,-0.001572278739,0.00390061189,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_21f1a4cff4a618dc,13,rejected_contact_region,close_z_approach_+x,,,False,False,0.010794999599,0.830071999342,,,,,,0.260337429835,0.0,0.965517696693,0.01596605124,0.965517696693,0.0,-0.260337429835,0.00395025397,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_5e0f72f99e590859,14,rejected_contact_region,close_z_approach_-x,,,False,False,0.010794999599,0.829931786753,,,,,,-0.001572278739,0.0,-0.999998763969,0.018567153713,-0.999998763969,0.0,0.001572278739,0.003784756078,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_5a0828e4192f18c9,15,rejected_contact_region,close_z_approach_+x,,,False,False,0.010794999599,0.829542599953,,,,,,-0.257300020554,0.0,0.966331568057,0.018567153713,0.966331568057,0.0,0.257300020554,0.003784756078,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_2ca41c70c936837c,16,rejected_contact_region,close_z_approach_+x,,,False,False,0.010794999599,0.829455456065,,,,,,0.260337429835,0.0,0.965517696693,0.01699139413,0.965517696693,0.0,-0.260337429835,0.00390061189,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
g_583201ece1601c63,17,rejected_contact_region,close_z_approach_-x,,,False,False,0.010794999599,0.829259426096,,,,,,-0.260337429835,0.0,-0.965517696693,0.01699139413,-0.965517696693,0.0,0.260337429835,0.00390061189,0.0,1.0,0.0,0.010034142733,0.0,0.0,0.0,1.0
